Line 42: Open=1, Close=0, Depth=1
Line 43: Open=1, Close=0, Depth=2
Line 46: Open=0, Close=1, Depth=1
Line 47: Open=0, Close=1, Depth=0
Line 199: Open=1, Close=0, Depth=1
Line 200: Open=1, Close=0, Depth=2
Line 207: Open=1, Close=0, Depth=3
Line 218: Open=1, Close=0, Depth=4
Line 225: Open=1, Close=0, Depth=5
Line 227: Open=0, Close=1, Depth=4
Line 229: Open=0, Close=1, Depth=3
Line 230: Open=1, Close=0, Depth=4
Line 231: Open=1, Close=0, Depth=5
Line 233: Open=1, Close=0, Depth=6
Line 235: Open=0, Close=1, Depth=5
Line 236: Open=0, Close=1, Depth=4
Line 237: Open=1, Close=1, Depth=4
Line 238: Open=1, Close=0, Depth=5
Line 239: Open=1, Close=0, Depth=6
Line 241: Open=0, Close=1, Depth=5
Line 242: Open=1, Close=0, Depth=6
Line 244: Open=0, Close=1, Depth=5
Line 245: Open=0, Close=1, Depth=4
Line 246: Open=0, Close=1, Depth=3
Line 247: Open=0, Close=1, Depth=2
Line 249: Open=1, Close=0, Depth=3
Line 251: Open=1, Close=0, Depth=4
Line 256: Open=1, Close=0, Depth=5
Line 257: Open=1, Close=0, Depth=6
Line 258: Open=1, Close=0, Depth=7
Line 267: Open=0, Close=1, Depth=6
Line 273: Open=0, Close=1, Depth=5
Line 275: Open=1, Close=0, Depth=6
Line 281: Open=0, Close=1, Depth=5
Line 283: Open=0, Close=1, Depth=4
Line 287: Open=1, Close=0, Depth=5
Line 288: Open=1, Close=0, Depth=6
Line 291: Open=0, Close=1, Depth=5
Line 294: Open=1, Close=0, Depth=6
Line 300: Open=0, Close=1, Depth=5
Line 315: Open=0, Close=1, Depth=4
Line 320: Open=1, Close=0, Depth=5
Line 324: Open=1, Close=0, Depth=6
Line 340: Open=1, Close=0, Depth=7
Line 341: Open=1, Close=1, Depth=7
Line 342: Open=1, Close=1, Depth=7
Line 343: Open=0, Close=1, Depth=6
Line 344: Open=1, Close=0, Depth=7
Line 345: Open=1, Close=0, Depth=8
Line 346: Open=1, Close=0, Depth=9
Line 348: Open=0, Close=1, Depth=8
Line 349: Open=1, Close=1, Depth=8
Line 350: Open=0, Close=1, Depth=7
Line 351: Open=1, Close=0, Depth=8
Line 357: Open=0, Close=1, Depth=7
Line 360: Open=0, Close=1, Depth=6
Line 362: Open=1, Close=0, Depth=7
Line 365: Open=0, Close=1, Depth=6
Line 366: Open=0, Close=1, Depth=5
Line 371: Open=1, Close=0, Depth=6
Line 375: Open=1, Close=0, Depth=7
Line 387: Open=1, Close=0, Depth=8
Line 393: Open=0, Close=1, Depth=7
Line 395: Open=0, Close=1, Depth=6
Line 397: Open=1, Close=0, Depth=7
Line 403: Open=1, Close=0, Depth=8
Line 406: Open=0, Close=1, Depth=7
Line 408: Open=1, Close=0, Depth=8
Line 410: Open=1, Close=0, Depth=9
Line 414: Open=1, Close=1, Depth=9
Line 415: Open=0, Close=1, Depth=8
Line 416: Open=0, Close=1, Depth=7
Line 418: Open=0, Close=1, Depth=6
Line 421: Open=1, Close=0, Depth=7
Line 432: Open=1, Close=1, Depth=7
Line 448: Open=0, Close=1, Depth=6
Line 451: Open=1, Close=0, Depth=7
Line 469: Open=0, Close=1, Depth=6
Line 471: Open=1, Close=0, Depth=7
Line 477: Open=0, Close=1, Depth=6
Line 478: Open=0, Close=1, Depth=5
Line 483: Open=1, Close=0, Depth=6
Line 484: Open=1, Close=0, Depth=7
Line 491: Open=0, Close=1, Depth=6
Line 502: Open=1, Close=0, Depth=7
Line 508: Open=1, Close=0, Depth=8
Line 509: Open=1, Close=1, Depth=8
Line 510: Open=1, Close=1, Depth=8
Line 511: Open=0, Close=1, Depth=7
Line 512: Open=1, Close=0, Depth=8
Line 513: Open=1, Close=1, Depth=8
Line 514: Open=1, Close=0, Depth=9
Line 516: Open=0, Close=1, Depth=8
Line 517: Open=0, Close=1, Depth=7
Line 518: Open=0, Close=1, Depth=6
Line 520: Open=1, Close=0, Depth=7
Line 523: Open=0, Close=1, Depth=6
Line 524: Open=0, Close=1, Depth=5
Line 526: Open=0, Close=1, Depth=4
Line 527: Open=0, Close=1, Depth=3
Line 560: Open=0, Close=1, Depth=2
